fbPageId,about,affiliation,alwaysOpen,appId,attire,bestPage,built,canCheckin,category,checkins,communityPage,companyString,contactAddress,culinaryTeam,currentLocation,description,displaySubtext,errorCode,errorMessage,fbId,features,founded,generalInfo,generalManager,geoSpecial,givenUrl,globalBrandRootId,hours,impressum,job,liTab,likes,link,location,members,mission,mpg,name,nameWithBrandOrLocation,overview,parentPageId,parking,paymentOptions,permanentlyClosed,personalInfo,personalInterests,pharmaSafetyInfo,phone,placeType,priceRange,products,publicTransit,restaurantServices,restaurantSpecialties,singleLineAddress,startDate,startType,storeLocationDescriptor,storeNumber,talkingAbout,unclaimed,username,verificationStatus,verified,voipInfo,website,wereHere,realStartDate
11,"Welcome to the official Mercedes-Benz Facebook page! ",NULL,0,NULL,NULL,NULL,NULL,1,"News/Media Website",1,0,"Mercedes-Benz USA",null,NULL,NULL,"ABBREVWelcome to the official Facebook page of Mercedes-Benz where all fans and brand lovers unite. Join us and use this platform to connect, interact and share your passion for the brand, products and services of Mercedes-Benz. You can expect regularl...","1 person checked in here",NULL,NULL,6604386669,NULL,NULL,NULL,NULL,,https://www.facebook.com/MercedesBenz?fref=ts,NULL,null,"ABBREVSocial Media Contact: socialmedia@daimler.com

Daimler AG
Mercedesstraße 137, 70327 Stuttgart, Germany
Phone: +49 711 17 - 0
E-mail: dialog@daimler.com
Represented by the Board of Management: Dieter Zetsche (Chairman), Wolfgang Bernhard, Renata J...",0,0,20087074,https://www.facebook.com/MercedesBenz/,null,NULL,"ABBREVThis page serves as a platform and network for the exchange of thoughts and opinions on Mercedes-Benz. We welcome your active participation! Before you get typing, however, please make sure that your posts and comments adhere to the following:
- ...",NULL,Mercedes-Benz,NULL,"Mercedes-Benz – a Daimler brand
http://mb4.me/Provider/",NULL,NULL,null,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,null,null,NULL,com.restfb.types.Page$PageStartDate@68a60fda,Launched,NULL,NULL,58623,0,MercedesBenz,blue_verified,1,com.restfb.types.Page$VoipInfo@30ca9790,"http://www.mercedes-benz.com ",0,"1882-12-31 16:21:25"
12,"This is the official Facebook home of DPR Construction. Learn more about DPR at www.dpr.com.",NULL,0,NULL,NULL,NULL,NULL,1,Engineering/Construction,342,0,"DPR Construction",null,NULL,NULL,"DPR Core Markets:

- Advanced Technology (Mission Critical, Entertainment & Microelectronics)
- Corporate Office
- Healthcare
- Higher Education
- Life Sciences","1450 Veterans Blvd・Redwood City, California・342 people checked in here",NULL,NULL,128264243859715,NULL,"July 2, 1990",NULL,NULL,,https://www.facebook.com/DPRConstruction?fref=ts,NULL,null,NULL,0,0,2781,https://www.facebook.com/DPRConstruction/,"Location[city=Redwood City country=United States latitude=37.48881 locatedIn=null longitude=-122.21766 name=null region=null state=CA street=1450 Veterans Blvd zip=94063]",NULL,"Mission: To be one of the Most Admired Companies by the year 2030.  
Purpose: We Exist to Build Great Things®
Core Values: Integrity, Enjoyment, Uniqueness, Ever Forward",NULL,"DPR Construction",NULL,"ABBREVDPR Construction is a unique technical builder with a passion for results.

Ranked in the top 50 general contractors in the country over the last 10 years, we are a national commercial contractor and construction manager that has grown with our c...",NULL,NULL,null,0,NULL,NULL,NULL,"(650) 474-1450",PLACE,NULL,NULL,NULL,null,null,"1450 Veterans Blvd, Redwood City, California 94063",com.restfb.types.Page$PageStartDate@7492c783,Founded,NULL,NULL,250,0,DPRConstruction,not_verified,0,com.restfb.types.Page$VoipInfo@2fd877db,www.dpr.com,342,"1990-08-02 16:21:26"
13,"Welcome to the official Facebook page for DreamWorks Animation! http://www.dreamworksanimation.com/",NULL,0,NULL,NULL,NULL,NULL,1,"Movie Studio",0,0,"DreamWorks Animation SKG",null,NULL,NULL,"ABBREVDreamWorks Animation SKG creates high-quality family entertainment, including computer-generated (CG) animated feature films, television specials and series and live entertainment properties. With world-class creative talent and technological cap...",NULL,NULL,NULL,104770457523,NULL,NULL,NULL,NULL,,https://www.facebook.com/DreamWorksAnimation?fref=ts,907224172621932,null,NULL,0,0,6176449,https://www.facebook.com/DreamWorksAnimation/,null,NULL,NULL,NULL,"DreamWorks Animation",NULL,NULL,NULL,NULL,null,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,null,null,NULL,com.restfb.types.Page$PageStartDate@53cdf43c,Founded,NULL,NULL,6421,0,DreamWorksAnimation,blue_verified,1,com.restfb.types.Page$VoipInfo@32d551c7,"http://www.dreamworksanimation.com http://dreamworksanimation.tumblr.com http://www.twitter.com/DWAnimation",0,"1994-11-12 16:21:26"
14,NULL,NULL,0,NULL,NULL,NULL,NULL,1,"Local Business",0,1,"NuStar Energy",null,NULL,NULL,"ABBREVNuStar Energy L.P.(NYSE: NS), is a publicly traded master limited partnership. The company is one of the largest independent liquids terminal and pipeline operators in the nation. NuStar owns 8,700 miles of pipeline and 79 terminal and storage fa...",NULL,NULL,NULL,112170275467147,NULL,NULL,NULL,NULL,,https://www.facebook.com/pages/NuStar-Energy/112170275467147?fref=ts,NULL,null,NULL,0,0,580,https://www.facebook.com/pages/NuStar-Energy/112170275467147,null,NULL,NULL,NULL,"NuStar Energy",NULL,NULL,NULL,NULL,null,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,null,null,NULL,null,Unspecified,NULL,NULL,0,1,NULL,not_verified,0,com.restfb.types.Page$VoipInfo@2dc32c25,NULL,0,NULL
15,"Our hotels are inspired and wired, our restaurants and bars seasonal and creative. We can't wait to show you what #KimptonLove is all about.",NULL,0,NULL,NULL,NULL,NULL,1,Travel/Leisure,612,0,"Kimpton Hotels & Restaurants",null,NULL,NULL,NULL,"222 Kearny St, Ste 200・San Francisco, California・612 people checked in here",NULL,NULL,51530158577,NULL,"April 1, 1981",NULL,NULL,,https://www.facebook.com/Kimpton?fref=ts&rf=112145482229508,NULL,null,NULL,0,0,81667,https://www.facebook.com/Kimpton/,"Location[city=San Francisco country=United States latitude=37.79017 locatedIn=null longitude=-122.40374 name=null region=null state=CA street=222 Kearny St, Ste 200 zip=94108]",NULL,NULL,NULL,"Kimpton Hotels & Restaurants",NULL,NULL,NULL,NULL,null,0,NULL,NULL,NULL,"(800) 546-7866",PLACE,NULL,NULL,NULL,null,null,"222 Kearny St, Ste 200, San Francisco, California 94108",com.restfb.types.Page$PageStartDate@7a72a227,Founded,NULL,NULL,1303,0,Kimpton,not_verified,0,com.restfb.types.Page$VoipInfo@1c689604,http://www.kimptonhotels.com,0,"1981-05-01 16:21:27"
16,"JM Family Enterprises, Inc., founded by Jim Moran in 1968, is a diversified automotive company with operations throughout North America.",NULL,0,NULL,NULL,NULL,NULL,1,Company,1819,0,"JM Family Enterprises",null,NULL,NULL,NULL,"100 Jim Moran Blvd・Deerfield Beach, Florida・1,819 people checked in here",NULL,NULL,215824265320,NULL,1968,"ABBREVPrimary subsidiaries and divisions include: Southeast Toyota Distributors, LLC, the world's largest independent distributor of Toyota and Scion vehicles; World Omni Financial Corp., a diversified financial services company; JM&A Group, one of the...",NULL,,https://www.facebook.com/JMFamilyEnterprises?fref=ts,NULL,null,NULL,0,0,2903,https://www.facebook.com/JMFamilyEnterprises/,"Location[city=Deerfield Beach country=United States latitude=26.320699588835 locatedIn=null longitude=-80.120049210123 name=null region=null state=FL street=100 Jim Moran Blvd zip=33442]",NULL,"JM Family's mission is to be the premier provider of quality products and services through mutually rewarding relationships with our customers, associates, business partners and the community.",NULL,"JM Family Enterprises",NULL,"We invite you to visit jmfamily.com for more detailed information about our company and subsidiaries.",NULL,NULL,null,0,NULL,NULL,NULL,"(954) 429-2000",PLACE,NULL,NULL,NULL,null,null,"100 Jim Moran Blvd, Deerfield Beach, Florida 33442",null,Unspecified,NULL,NULL,534,0,JMFamilyEnterprises,not_verified,0,com.restfb.types.Page$VoipInfo@65e6fd05,www.jmfamily.com,0,NULL
17,"The official page of Chesapeake Energy - the second-largest producer of natural gas, and 14th largest producer of oil and natural gas liquids in the U.S.",NULL,0,NULL,NULL,NULL,NULL,1,Company,9960,0,"Chesapeake Energy",null,NULL,NULL,NULL,"6100 N Western Ave・Oklahoma City, Oklahoma・9,960 people checked in here",NULL,NULL,201579567564,NULL,1989,NULL,NULL,,https://www.facebook.com/Chesapeake?fref=ts,NULL,null,NULL,0,0,32173,https://www.facebook.com/Chesapeake/,"Location[city=Oklahoma City country=United States latitude=35.535288945147 locatedIn=null longitude=-97.528538168378 name=null region=null state=OK street=6100 N Western Ave zip=73118]",NULL,"Leading a Responsible Energy Future",NULL,"Chesapeake Energy Corporation",NULL,"ABBREVChesapeake Energy Corporation (NYSE:CHK) is the second-largest producer of natural gas and the 14th largest producer of oil and natural gas liquids in the U.S. Headquartered in Oklahoma City, the company's operations are focused on discovering an...",NULL,NULL,null,0,NULL,NULL,NULL,"(877) 245-1427",PLACE,NULL,"Oil, natural gas and natural gas liquids.",NULL,null,null,"6100 N Western Ave, Oklahoma City, Oklahoma 73118",com.restfb.types.Page$PageStartDate@27d5908,Founded,NULL,NULL,59,0,Chesapeake,not_verified,0,com.restfb.types.Page$VoipInfo@143e55f6,www.CHK.com,9960,"1988-12-31 16:21:28"
18,"www.usaajobs.com - Welcome to USAA Careers Page on Facebook. We have been proudly serving military members and their families for 90 years.",NULL,0,NULL,NULL,NULL,NULL,1,Product/Service,0,0,USAA,null,NULL,NULL,"ABBREVModeration Policy:

The appearance of external links on this site is not an official endorsement on behalf of USAA. Moderation of the USAA Wall and Discussions will take place between the hours of 8am-5pm (CST), Monday through Friday, with the ex...",NULL,NULL,NULL,161179599992,NULL,"June 20, 1922","Apply: http://www.usaajobs.com
Tweet: http://www.twitter.com/usaa_jobs
Connect: http://www.linkedin.com/company/usaa",NULL,,https://www.facebook.com/usaacareers?fref=ts&ref=br_tf,NULL,null,NULL,0,0,18336,https://www.facebook.com/usaacareers/,null,NULL,NULL,NULL,"USAA Careers",NULL,"ABBREVUSAA, a diversified financial services group of companies, is among the leading providers of financial planning, insurance, investments and banking products to members of the U.S. military and their families. The company's 10 million members rely...",NULL,NULL,null,0,NULL,NULL,NULL,NULL,NULL,NULL,"Insurance 
Property and casualty insurance 
Life insurance and annuities 
Banking 
Investments 
Investment Products 
Investment Advice and Services 




",NULL,null,null,NULL,com.restfb.types.Page$PageStartDate@1bd26e0a,Founded,NULL,NULL,474,0,usaacareers,not_verified,0,com.restfb.types.Page$VoipInfo@2f65e48e,http://usaajobs.com,0,"1922-07-20 16:21:29"
19,"Baird is an employee-owned financial services firm on a mission to provide the best financial advice and service to clients and be the best place to work for associates.",NULL,0,NULL,NULL,NULL,NULL,1,"Bank/Financial Institution",277,0,"Robert W. Baird",null,NULL,NULL,"ABBREVBaird is an employee- owned, international wealth management, capital markets, private equity and asset management firm with offices in the United States, Europe and Asia. Established in 1919, Baird has more than $145 billion in client assets and...","777 E Wisconsin Ave・Milwaukee, Wisconsin・277 people checked in here",NULL,NULL,148731991811588,NULL,1919,NULL,NULL,,https://www.facebook.com/RobertWBairdandCompany?fref=ts,NULL,"ABBREVHours[friday1close=17:00 friday1open=09:00 friday2close=null friday2open=null id=null metadata=null monday1close=17:00 monday1open=09:00 monday2close=null monday2open=null name=null saturday1close=null saturday1open=null saturday2close=null satur...",NULL,0,0,4427,https://www.facebook.com/RobertWBairdandCompany/,"Location[city=Milwaukee country=United States latitude=43.03836 locatedIn=null longitude=-87.90208 name=null region=null state=WI street=777 E Wisconsin Ave zip=53202]",NULL,"To provide the best financial advice and service to clients and be the best place to work for associates.",NULL,Baird,NULL,"ABBREVOwnership: 
Baird is employee-owned, privately held and fully independent

Global Reach: 
Baird has more than 2,600 employees serving clients from over 100 offices in the United States, Europe and Asia

Services: 
Private Wealth Management       ...",NULL,NULL,null,0,NULL,NULL,NULL,"(800) 792-2473",PLACE,NULL,NULL,NULL,null,null,"777 E Wisconsin Ave, Milwaukee, Wisconsin 53202",null,Unspecified,NULL,NULL,95,0,RobertWBairdandCompany,not_verified,0,com.restfb.types.Page$VoipInfo@51e34ff,www.rwbaird.com,277,NULL
20,"The Original Storage and Organization Store",NULL,0,NULL,NULL,NULL,NULL,1,"Retail and Consumer Merchandise",0,0,"Container Store",null,NULL,NULL,NULL,NULL,NULL,NULL,59375573322,NULL,1978,NULL,NULL,,https://www.facebook.com/containerstore?fref=ts,NULL,null,NULL,0,0,386891,https://www.facebook.com/containerstore/,null,NULL,NULL,NULL,"The Container Store",NULL,"ABBREVWe can’t contain ourselves!  In 1978, we opened our first store in a tiny, 1600 square foot space in Dallas, Texas.  Most of the products we sold came from commercial or industrial manufacturers, and had never been sold in a retail environment li...",NULL,NULL,null,0,NULL,NULL,NULL,1-888-CONTAIN,NULL,NULL,"10,000 Innovative and multi-functional products to save you space and time! ",NULL,null,null,NULL,com.restfb.types.Page$PageStartDate@3b269c5c,Founded,NULL,NULL,1074,0,containerstore,not_verified,0,com.restfb.types.Page$VoipInfo@11d2823f,"www.containerstore.com standfor.containerstore.com",117181,"1977-12-31 16:21:30"
21,"Welcome to Qualcomm's Facebook Careers page. To learn more about career opportunities, please visit www.qualcomm.com/careers.",NULL,0,NULL,NULL,NULL,NULL,1,Company,65,0,Qualcomm,null,NULL,NULL,"ABBREVBillions, maybe trillions of times a day… 

That’s how often people around the world touch something made better by Qualcomm. It could be the smartphone in your pocket, the tablet on your coffee table, that wireless modem in your briefcase… it co...","5775 Morehouse Dr・San Diego, California・65 people checked in here",NULL,NULL,115831370196,NULL,NULL,NULL,NULL,,https://www.facebook.com/QualcommCareers?fref=ts,NULL,null,NULL,0,0,23008,https://www.facebook.com/QualcommCareers/,"Location[city=San Diego country=United States latitude=32.897106 locatedIn=null longitude=-117.195741 name=null region=null state=CA street=5775 Morehouse Dr zip=92121]",NULL,NULL,NULL,"Qualcomm Careers",NULL,"ABBREVQualcomm Incorporated (NASDAQ: QCOM) is a world leader in 3G, 4G and next-generation wireless technologies. For more than 25 years, Qualcomm ideas and inventions have driven the evolution of digital communications, linking people everywhere more ...",NULL,NULL,null,0,NULL,NULL,NULL,"(858) 587-1121",PLACE,NULL,NULL,NULL,null,null,"5775 Morehouse Dr, San Diego, California 92121",com.restfb.types.Page$PageStartDate@5f81609e,Founded,NULL,NULL,69,0,QualcommCareers,not_verified,0,com.restfb.types.Page$VoipInfo@4cd1215d,https://www.qualcomm.com/company/careers,65,"1984-12-31 16:21:30"
